All combined effects
List of cost point by point, but without normalization per variable
time	variable	simulation	data	stddev	localCost
0	26	5.18349	4.618	2.263	0.319774
0	27	78.8879	80.94	3.48	4.21115
0	28	3.91903	3.452	0.517	0.218115
0	29	12.0096	10.46	1.347	2.40125
0	30	95.3894	95.24	1.11	0.0223164
0	32	1.95795	2.21	0.309	0.0635301
0	31	0.543997	0.31	0.056	0.0547547
0	33	2.10867	2.222	0.962	0.0128442
0	1	3.9891	4.0073	2.896	0.000331248
0	4	60.7104	67.1689	17.6623	41.7118
0	5	2.787	2.5529	0.7301	0.0548028
0	9	8.387	7.8896	2.3348	0.247407
0	11	0.142	0.1559	0.06386	0.00019321
0	10	0.04793	0.02524	0.00978	0.000514836
0	12	0.121	0.13295	0.06346	0.000142803
2	26	5.17366	5.354	1.039	0.0325215
2	27	78.9219	75.18	3.681	14.0021
2	28	3.91305	4.642	0.791	0.53137
2	29	11.9913	14.42	1.866	5.89835
2	30	95.3898	95.6	0.43	0.0441745
2	32	1.95804	1.854	0.128	0.0108233
2	31	0.544118	0.472	0.115	0.00520107
2	33	2.10802	2.076	0.438	0.00102552
2	1	3.9891	3.9667	1.642	0.00050175
2	4	60.852	61.161	33.3937	0.0955081
2	5	2.78812	3.2025	1.2952	0.171714
2	9	8.39036	9.9433	4.3445	2.41163
2	11	0.142076	0.1613	0.0769	0.000369556
2	10	0.0479601	0.04695	0.01878	1.02038e-06
2	12	0.121014	0.13529	0.06254	0.00020381
4	26	5.17201	6.1	1.134	0.86117
4	27	78.9159	74.22	4.888	22.0511
4	28	3.9149	4.574	0.978	0.434408
4	29	11.9972	14.68	2.954	7.19727
4	30	95.3905	96.04	0.439	0.421822
4	32	1.95803	1.664	0.146	0.0864556
4	31	0.544257	0.584	0.187	0.00157948
4	33	2.10719	1.698	0.216	0.167434
4	1	3.9891	3.6926	1.5417	0.0879121
4	4	60.8667	48.2163	26.1104	160.034
4	5	2.79051	2.4988	0.8046	0.0850963
4	9	8.39757	7.8702	2.5864	0.278121
4	11	0.142223	0.1122	0.03636	0.000901363
4	10	0.0480138	0.05063	0.03016	6.84468e-06
4	12	0.121094	0.08967	0.03554	0.000987491
5	26	5.17207	4.105	0.692	1.13865
5	27	78.9111	82.05	1.466	9.85247
5	28	3.91603	3.603	0.405	0.097989
5	29	12.0008	9.95	0.592	4.20561
5	30	95.3907	94.65	0.827	0.548653
5	32	1.95795	2.025	0.151	0.00449581
5	31	0.544255	0.9225	0.749	0.143069
5	33	2.10708	2.408	0.286	0.0905502
5	1	3.9891	3.451	0.7979	0.289551
5	4	60.8623	70.2197	17.1825	87.5608
5	5	2.79134	2.9201	0.8465	0.0165782
5	9	8.40007	7.7078	2.1238	0.47924
5	11	0.142266	0.1375	0.04246	2.27136e-05
5	10	0.0480277	0.07412	0.06869	0.000680806
5	12	0.12114	0.12771	0.03997	4.3169e-05
6	26	5.17218	7.542	2.129	5.61604
6	27	78.9075	77.38	4.303	2.33339
6	28	3.91688	3.6	0.748	0.10041
6	29	12.0034	11.05	1.574	0.908967
6	30	95.3908	95.4	0.608	8.38644e-05
6	32	1.95784	1.854	0.233	0.0107836
6	31	0.544228	0.504	0.235	0.00161832
6	33	2.10709	2.272	0.479	0.0271969
6	1	3.9891	5.7439	3.5362	3.07932
6	4	60.8583	42.5114	19.8521	336.608
6	5	2.79193	2.1279	0.8129	0.440938
6	9	8.40184	5.9307	2.1612	6.10655
6	11	0.142292	0.1067	0.04016	0.00126681
6	10	0.0480353	0.03083	0.0294	0.000296022
6	12	0.121179	0.10889	0.05252	0.00015101
7	26	5.17222	4.908	0.852	0.0698132
7	27	78.9052	77.3	5.876	2.57652
7	28	3.91745	4.218	1.241	0.0903328
7	29	12.0052	13.18	4.606	1.38021
7	30	95.3909	95.2	0.657	0.0364617
7	32	1.95774	1.862	0.207	0.00916593
7	31	0.544193	0.6767	0.129	0.0175581
7	33	2.10712	2.255	0.529	0.0218689
7	1	3.9891	4.0543	2.8352	0.00425107
7	4	60.856	47.1519	18.3715	187.801
7	5	2.79235	2.2744	0.5644	0.26827
7	9	8.40309	6.6135	1.5225	3.20265
7	11	0.142308	0.113	0.03876	0.000858959
7	10	0.0480391	0.04104	0.02151	4.89875e-05
7	12	0.121209	0.11981	0.04894	1.95756e-06
8	26	5.27713	7.38	1.679	4.42207
8	27	78.5752	67.67	7.702	118.924
8	28	3.97275	6.115	1.823	4.58925
8	29	12.1749	18.33	5.328	37.885
8	30	95.3718	94.53	1.148	0.708564
8	32	1.96914	2.008	0.374	0.00151013
8	31	0.547281	0.565	0.062	0.000313968
8	33	2.11182	2.883	0.953	0.594723
8	1	3.9891	3.0553	1.7083	0.871982
8	4	59.3968	30.0704	18.1643	860.035
8	5	2.77409	2.0866	0.6646	0.47264
8	9	8.34814	5.9921	1.9622	5.55094
8	11	0.142266	0.0998	0.0329	0.00180334
8	10	0.0480199	0.03689	0.01516	0.000123874
8	12	0.120467	0.09737	0.01817	0.000533459
9	26	18.972	7.801	1.384	124.792
9	27	49.9879	39.2	24.189	116.38
9	28	7.63585	12.643	6.439	25.0716
9	29	23.4042	39.53	18.394	260.041
9	30	92.8994	93.34	2.484	0.194107
9	32	3.27414	2.861	0.78	0.170684
9	31	0.859779	0.6986	0.325	0.0259787
9	33	2.96666	3.079	1.61	0.0126211
9	1	3.9891	1.4729	1.2518	6.33126
9	4	10.5106	10.8973	13.3579	0.149551
9	5	1.37653	1.4278	0.6079	0.00262852
9	9	4.1424	4.5922	2.2997	0.202318
9	11	0.122161	0.1111	0.04593	0.000122349
9	10	0.0399619	0.03219	0.01814	6.04029e-05
9	12	0.0720998	0.08255	0.0481	0.000109206
10	26	19.0121	20.717	14.248	2.90654
10	27	55.1126	27.7	28.002	751.452
10	28	6.39329	16.977	8.41	112.015
10	29	19.482	34.12	14.64	214.272
10	30	92.3946	90.97	2.944	2.02935
10	32	3.1789	3.342	0.897	0.0266009
10	31	0.74444	0.4311	0.264	0.0981819
10	33	3.6821	5.277	2.213	2.54369
10	1	3.9891	1.5948	1.3844	5.73267
10	4	11.5636	2.4277	2.9275	83.4655
10	5	1.11243	0.4041	0.327	0.501732
10	9	3.34759	1.8276	1.4442	2.31036
10	11	0.0909832	0.0505	0.04231	0.00163889
10	10	0.0280823	0.00653	0.00767	0.000464501
10	12	0.0766225	0.04757	0.02972	0.000844045
11	26	8.75009	8.535	4.847	0.0462625
11	27	80.0812	65.65	13.949	208.259
11	28	2.77116	6.77	3.114	15.9907
11	29	8.39757	18.75	8.326	107.173
11	30	92.5147	93.97	1.226	2.11803
11	32	2.98263	2.665	0.429	0.100891
11	31	0.657841	0.41	0.154	0.0614251
11	33	3.84487	2.955	0.74	0.791867
11	1	3.9891	2.5771	1.4973	1.99374
11	4	36.5084	23.1071	14.7132	179.595
11	5	1.03435	1.5699	0.3804	0.286813
11	9	3.11262	4.3721	1.2212	1.58629
11	11	0.0752268	0.0999	0.02441	0.000608766
11	10	0.0228367	0.0198	0.00842	9.22158e-06
11	12	0.0733065	0.08821	0.01655	0.000222113
12	26	5.99695	7.138	2.627	1.30201
12	27	85.0005	77.82	8.356	51.5601
12	28	2.23175	4.148	1.851	3.67201
12	29	6.77076	10.54	3.931	14.2071
12	30	93.4208	94.18	2.905	0.576389
12	32	2.71945	2.492	0.902	0.0517316
12	31	0.653434	0.362	0.064	0.0849336
12	33	3.20632	2.976	2.072	0.0530489
12	1	3.9891	1.8753	0.8894	4.46815
12	4	56.5414	25.0087	15.0903	994.31
12	5	1.25554	0.9781	0.4586	0.0769706
12	9	3.77832	2.4768	1.2808	1.69395
12	11	0.0835193	0.0501	0.02006	0.00111685
12	10	0.0270816	0.0093	0.00468	0.000316184
12	12	0.0705175	0.03951	0.01572	0.000961466
13	26	5.41371	4.942	1.558	0.222513
13	27	84.6025	84.46	1.993	0.0202984
13	28	2.46867	2.302	0.58	0.0277795
13	29	7.51514	7.78	1.05	0.0701491
13	30	94.1619	94.54	1.176	0.142977
13	32	2.51592	2.194	0.348	0.10363
13	31	0.659237	0.43	0.149	0.0525496
13	33	2.66297	2.83	0.983	0.0278991
13	1	3.9891	3.0529	0.8346	0.87647
13	4	62.3394	59.0017	27.8253	11.1404
13	5	1.59004	1.3444	0.5825	0.0603407
13	9	4.78505	4.784	2.7833	1.10841e-06
13	11	0.10036	0.0789	0.03753	0.000460528
13	10	0.0341575	0.02482	0.02186	8.71893e-05
13	12	0.0735731	0.06719	0.03281	4.07434e-05
21	26	5.00378	3.745	1.444	1.58453
21	27	79.7939	84.23	3.205	19.679
21	28	3.73819	2.187	0.831	2.40618
21	29	11.4641	9.47	1.317	3.9766
21	30	95.2843	96.35	0.799	1.13578
21	32	2.02418	1.88	0.366	0.0207875
21	31	0.569676	0.2867	0.091	0.0800752
21	33	2.12188	1.492	0.39	0.396745
21	1	3.9891	2.1004	1.4034	3.56719
21	4	63.6131	52.5455	36.3157	122.491
21	5	2.75115	0.8651	0.4438	3.55717
21	9	8.27922	4.7762	2.8086	12.2712
21	11	0.146038	0.0612	0.03528	0.00719749
21	10	0.049717	0.0121	0.005	0.00141504
21	12	0.120037	0.03539	0.01872	0.00716512
List of cost, per variable, including normalizations 
Cost function used: RSS (No Norm)
variable	Norm cost
26	143.313
27	1321.3
28	165.245
29	659.617
30	7.97871
32	0.661091
31	0.627239
33	4.74151
1	27.3033
4	3065
5	5.99569
9	36.3406
11	0.0165608
10	0.00402493
12	0.0114064


Cost per condition : 
ExpNr	Cost	Name
0	5438.15	All combined effects


Cost per Variable : 
VarLocalNr	VarGlobID
Cost	Name
0		0	flu
1	tDN	27.3033	DNtot
2		0	eDPtot
3		0	lDP
4	tDP	3065	DPtot
5	tSP8P	5.99569	tSP8P
6		0	tSP8CD69-
7		0	tSP4P
8		0	tSP4CD69-
9	tTconvP	36.3406	tTconvP
10	tTregP1P	0.00402493	tTRegP25P
11	tTregP2P	0.0165608	tTRegPFp3P
12	tTregP	0.0114064	tTregP
13		0	tSP8RagN
14		0	tSP4RagN
15		0	tTconvRagN
16		0	tTregP1RagN
17		0	tTregP2RagN
18		0	tTregRagN
19		0	tSP8tot
20		0	tSP4tot
21		0	tTconvtot
22		0	tTregP1tot
23		0	tTregP2tot
24		0	tTregtot
25		0	ttotal
26	pctDN	143.313	pctDN
27	pctDP	1321.3	pctDP
28	pctSP8	165.245	pctSP8
29	pctSP4	659.617	pctSP4
30	pctTconvtot	7.97871	pctTconvtot
31	pctTregP1tot	0.627239	pctTRegP1tot
32	pctTregP2tot	0.661091	pctTRegP2tot
33	pctTregtot	4.74151	pctTregtot
34		0	pctTconvP
35		0	pctTRegP1P
36		0	pctTRegP2P
37		0	pctTregP
38		0	pctSP8RagN
39		0	pctSP4RagN
40		0	pctTconvRagN
41		0	pctTRegP1RagN
42		0	pctTRegP2RagN
43		0	pctTregRagN
44		0	SP4totTV
45		0	SP8totTV
46		0	divSP4g0
47		0	divSP4g1
48		0	divSP4g2
49		0	divSP8g0
50		0	divSP8g1
51		0	divSP8g2
52		0	SP4stage69hi
53		0	SP4stage69lo
54		0	SP8stage69hi
55		0	SP8stage69lo
56		0	SP4tot2St
57		0	SP8tot2St
58		0	floweDNtoeDP
59		0	floweDPtolDP
60		0	flowDPtoSP4
61		0	flowDPtoSP8
62		0	flowDPtoTconv
63		0	flowDPtoTregP1
64		0	flowDPtoTregP2
65		0	flowTregP1toTreg
66		0	flowTregP2toTreg
67		0	flowSP4toOut
68		0	flowSP8toOut
69		0	flowTregtoOut
70		0	floweDPtoDead
71		0	flowlDPtoDead
72		0	flowSP4toDead
73		0	flowSP8toDead
74		0	flowTconvtoDead
75		0	flowTregP1toDead
76		0	flowTregP2toDead
77		0	flowTregtoDead
78		0	divDNg0
79		0	divDNg1
80		0	divDNg2
81		0	divDNg3
82		0	divDNg4
83		0	divDNg5
84		0	divDNg6
85		0	divDNg7
86		0	divDNg8
87		0	divDNg9
88		0	divDNg10
89		0	divDNg11
90		0	divDNg12
91		0	divDNg13
92		0	divDNg14
93		0	divDNg15
94		0	divDNg16
95		0	divDNg17
96		0	divDNg18
97		0	divDNg19
98		0	divDNg20
99		0	divDNg21
100		0	divDNg22
101		0	divDNg23
102		0	divDNg24
103		0	divDNg25
104		0	divDNg26
105		0	divDNg27
106		0	divDNg28
107		0	divDNg29
108		0	divDNg30
109		0	eDPg0
110		0	eDPg1
111		0	eDPg2
112		0	eDPg3
113		0	eDPg4
114		0	eDPg5
115		0	eDPg6
116		0	eDPg7
117		0	eDPg8
118		0	eDPg9
119		0	eDPg10

